emotion,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_resp.keys,instructions_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,space,0.25624511600472033,1,001,2019_Feb_07_1420,video_rater,3.0.3,60.23604733046082,
Grumpy,0,0,0,0,,,1,001,2019_Feb_07_1420,video_rater,3.0.3,60.23604733046082,
