emotion,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_resp.keys,instructions_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,space,0.768240513978526,1,001,2019_Feb_07_1417,video_rater,3.0.3,60.08510959000289,
Grumpy,0,0,0,0,,,1,001,2019_Feb_07_1417,video_rater,3.0.3,60.08510959000289,
