emotion,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_resp.keys,instructions_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,space,0.5972787840291858,1,001,2019_Feb_07_1419,video_rater,3.0.3,59.543910881914464,
Grumpy,0,0,0,0,,,1,001,2019_Feb_07_1419,video_rater,3.0.3,59.543910881914464,
