emotion,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions_resp.keys,instructions_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,space,1.2428555289516225,1,001,2019_Feb_07_1420,video_rater,3.0.3,60.22704270366405,
Grumpy,0,0,0,0,,,1,001,2019_Feb_07_1420,video_rater,3.0.3,60.22704270366405,
